"","projectcode","pagename","pageviews","bytes"
"252","en","Data_extraction",7,89902
"253","en","Data_feed",9,213723
"254","en","Data_field",2,16850
"255","en","Data_file",7,67600
"256","en","Data_files",1,0
"257","en","Data_flow_diagram",78,1249818
"258","en","Data_format",1,8258
"259","en","Data_format_management",1,8185
"260","en","Data_forwarder",1,29338
"261","en","Data_frame",2,16265
"262","en","Data_fusion",5,57120
"263","en","Data_governance",17,282919
"264","en","Data_governancem",1,15101
"265","en","Data_grid",3,80843
"266","en","Data_haven",12,32643
"267","en","Data_hierarchy",7,88512
"268","en","Data_hub",2,17712
"269","en","Data_in_Use",1,9965
"270","en","Data_independence",7,99998
"271","en","Data_infrastructure",1,30981
"272","en","Data_integration",29,1672185
"273","en","Data_integrity",30,788661
"274","en","Data_item",1,8562
"275","en","Data_journalism",4,52659
"276","en","Data_journalismm",1,13000
"277","en","Data_leak",1,20250
"278","en","Data_library",1,10306
"279","en","Data_link",10,355130
"280","en","Data_link_connection_identifier",2,18084
"281","en","Data_link_connector_(automotive)",1,8714
"282","en","Data_link_layer",34,765744
"283","en","Data_link_layerm",1,21108
"284","en","Data_literacy",2,21690
"285","en","Data_logger",9,171392
"286","en","Data_logger)",1,7426
"287","en","Data_loggers",1,15231
"288","en","Data_logging",5,111256
"289","en","Data_loss",13,201708
"290","en","Data_loss_prevention_software",14,189099
"291","en","Data_management",32,424513
"292","en","Data_management_plan",2,25550
"293","en","Data_management_system",1,8932
"294","en","Data_manipulation_instruction",1,7461
"295","en","Data_manipulation_language",26,426178
"296","en","Data_mapper_pattern",3,28281
"297","en","Data_mapping",20,329313
"298","en","Data_mart",24,355318
"299","en","Data_masking",15,247502
"300","en","Data_matrix_(computer)",1,79322
"301","en","Data_matrix_(multivariate_statistics)",3,50403
"302","en","Data_migration",19,300490
"303","en","Data_mining",196,15613111
"304","en","Data_mining_in_agriculture",1,0
"305","en","Data_model",72,4248115
"306","en","Data_model_(GIS)",4,63488
"307","en","Data_modeling",52,1333929
"308","en","Data_modeling_tools",1,9953
"309","en","Data_modelling",1,23380
"310","en","Data_monetization",3,46287
"311","en","Data_monitoring_committee",1,13887
"312","en","Data_monitoring_switch",2,21188
"313","en","Data_movement",1,21465
"314","en","Data_normalization",13,92712
"315","en","Data_oradea",1,7425
"316","en","Data_packet",3,56571
"317","en","Data_padding",1,20618
"318","en","Data_paper",2,20272
"319","en","Data_parallelism",6,68792
"320","en","Data_plane",2,29541
"321","en","Data_point",7,87662
"322","en","Data_pointer",3,421851
"323","en","Data_pool",6,51222
"324","en","Data_position_measurement",1,9216
"325","en","Data_pre-processing",4,33324
"326","en","Data_preparation",1,7433
"327","en","Data_presentation_architecture",1,30495
"328","en","Data_privacy",8,186693
"329","en","Data_processing",37,629343
"330","en","Data_processing_system",6,78814
"331","en","Data_processingm",1,13374
"332","en","Data_profiling",14,179392
"333","en","Data_progr",1,7419
"334","en","Data_proliferation",1,11469
"335","en","Data_protection",1,23331
"336","en","Data_protection/",1,7450
"337","en","Data_protection_act",2,38722
"338","en","Data_protection_directive",1,26997
"339","en","Data_quality",27,504875
"340","en","Data_quality_assessment",3,27189
"341","en","Data_quality_control",1,18589
"342","en","Data_rate",5,31476
"343","en","Data_rate_units",64,1071099
"344","en","Data_recorder",1,15231
"345","en","Data_recovery",23,375140
"346","en","Data_recovery_lab",1,17946
"347","en","Data_recovery_software",1,10826
"348","en","Data_reduction",3,26286
"349","en","Data_redundancy",6,71842
"350","en","Data_redundancym",1,11869
"351","en","Data_remanence",16,391491
"352","en","Data_replication",1,21996
"353","en","Data_retention",9,87608
"354","en","Data_retrieval",2,18912
"355","en","Data_room",6,74879
"356","en","Data_rot",2,25772
"357","en","Data_sanitization",2,36408
"358","en","Data_science",36,817175
"359","en","Data_scientist",1,20594
"360","en","Data_scraping",12,163902
"361","en","Data_scrubbing",11,145783
"362","en","Data_security",18,356438
"363","en","Data_segment",14,199836
"364","en","Data_service_unit",1,9109
"365","en","Data_set",33,398038
"366","en","Data_set_(IBM_mainframe)",6,119338
"367","en","Data_sharing",7,159176
"368","en","Data_sheet",2,26810
"369","en","Data_sheets",2,26814
"370","en","Data_signaling_rate",3,32616
"371","en","Data_signaling_ratem",1,10872
"372","en","Data_snooping",1,14880
"373","en","Data_source",2,15776
"374","en","Data_source_name",12,96712
"375","en","Data_steward",12,131868
"376","en","Data_stewards",1,0
"377","en","Data_stewardship",1,11054
"378","en","Data_storage",4,26268
"379","en","Data_storage_device",70,1865910
"380","en","Data_storage_devicem",7,160679
"381","en","Data_storage_devicen",1,22952
"382","en","Data_storage_tag",2,12674
"383","en","Data_store",8,100867
"384","en","Data_stream",7,92504
"385","en","Data_stream_clustering",1,12661
"386","en","Data_stream_clustering/trackback/",1,7817
"387","en","Data_stream_mining",3,26608
"388","en","Data_striping",10,130978
"389","en","Data_strong",1,7421
"390","en","Data_structure",61,1225183
"391","en","Data_structure_alignment",25,738582
"392","en","Data_structure_diagram",8,124688
"393","en","Data_structures",2,39186
"394","en","Data_synchronization",5,94841
"395","en","Data_system",3,17994
"396","en","Data_terminal_equipment",19,287752
"397","en","Data_terminal_equipmentn",1,11193
"398","en","Data_thames",1,7419
"399","en","Data_theft",2,19083
"400","en","Data_transfer_object",21,248420
"401","en","Data_transfer_operations",1,7450
"402","en","Data_transfer_rate",2,15870
"403","en","Data_transfer_rate_(disk_drive)",4,99439
"404","en","Data_transformation",4,82083
"405","en","Data_transformation_(statistics)",35,606216
"406","en","Data_transformationm",1,13930
"407","en","Data_transmission",38,785930
"408","en","Data_transmission_circuit",1,28949
"409","en","Data_transmission_network",1,8058
"410","en","Data_truncation",4,52078
"411","en","Data_type",67,1410026
"412","en","Data_validation",47,756070
"413","en","Data_validation_and_reconciliation",6,127542
"414","en","Data_verification",1,7924
"415","en","Data_virtualization",3,21632
"416","en","Data_visualization",51,1998184
"417","en","Data_warehouse",149,6237146
"418","en","Data_warehouse_appliance",3,47991
"419","en","Data_warehouse_architectures",2,17945
"420","en","Data_warehouses",1,26781
"421","en","Data_warehousing",3,241847
"422","en","Data_wrangling",7,59430
"423","en","Databank_Group",1,10057
"424","en","Database",257,14268896
"425","en","Database-as-IPC",1,8758
"426","en","Database-centric_architecture",3,82846
"427","en","DatabaseObjects",1,10377
"428","en","DatabaseSpy",1,36070
"429","en","Database_(The_Simpsons)m",1,11409
"430","en","Database_Administrator",1,15704
"431","en","Database_Console_Commands_(Transact-SQL)",3,47667
"432","en","Database_Deployment_Manager",1,10906
"433","en","Database_Design",1,21385
"434","en","Database_Directive",4,66831
"435","en","Database_Integrity",1,26724
"436","en","Database_System",1,50184
"437","en","Database_System_Concepts",1,39036
"438","en","Database_Systems_Using_Oracle_A_Simplified_Guide_to_SQL_PLSQL",1,7547
"439","en","Database_Systems_Using_Oracle_A_Simplified_Guide_to_SQL__PLSQL",1,20
"440","en","Database_Workbench",3,40062
"441","en","Database_abstraction_layer",11,189122
"442","en","Database_activity_monitoring",6,135145
"443","en","Database_administration",1,15708
"444","en","Database_administration_and_automation",4,67213
"445","en","Database_administrator",80,1173299
"446","en","Database_application",8,120431
"447","en","Database_audit",5,60201
"448","en","Database_caching",8,125500
"449","en","Database_catalog",3,17910
"450","en","Database_cinema",1,11781
"451","en","Database_connection",7,145593
"452","en","Database_design",26,831950
"453","en","Database_development",1,50173
"454","en","Database_dump",12,125857
"455","en","Database_engine",8,161355
"456","en","Database_forensics",3,72653
"457","en","Database_index",40,719382
"458","en","Database_instance",3,150557
"459","en","Database_integrity",2,82965
"460","en","Database_join",1,111008
"461","en","Database_journalism",4,90186
"462","en","Database_journalismm",1,13635
"463","en","Database_log",1,42083
"464","en","Database_machine",1,35975
"465","en","Database_management_software",3,150543
"466","en","Database_management_system",21,1208682
"467","en","Database_management_systems",2,100376
"468","en","Database_marketing",4,66448
"469","en","Database_model",23,739894
"470","en","Database_models",1,25448
"471","en","Database_normalisation",2,54982
"472","en","Database_normalization",111,3480232
"473","en","Database_of_Macromolecular_Motions",1,11360
"474","en","Database_of_Molecular_Motions",1,0
"475","en","Database_preservation",4,84354
"476","en","Database_publishing",1,11914
"477","en","Database_query",2,255881
"478","en","Database_record",1,40169
"479","en","Database_refactoring",4,91423
"480","en","Database_replication",4,200366
"481","en","Database_right",2,27209
"482","en","Database_schema",64,1021926
"483","en","Database_search_engine",1,8544
"484","en","Database_security",11,199183
"485","en","Database_seeding",1,8235
"486","en","Database_server",16,212009
"487","en","Database_server.%20Web",1,0
"488","en","Database_state",1,7825
"489","en","Database_storage_structures",8,135022
"490","en","Database_system",1,50175
"491","en","Database_table",2,65870
"492","en","Database_testing",8,153749
"493","en","Database_theory",4,102741
"494","en","Database_transaction",16,248115
"495","en","Database_transactions",1,60945
"496","en","Database_trigger",20,449532
"497","en","Database_tuning",4,102316
"498","en","Database_view",1,13666
"499","en","Database_virtualization",2,88832
"500","en","Databasen",1,26373
"501","en","Databases",6,301042
"502","en","Databending",1,11429
"503","en","Datablitz",1,34378
"504","en","Datacap",1,34959
"505","en","Datacard",6,118206
"506","en","Datacard_Group",2,39024
"507","en","Datacenter",1,191609
"508","en","Datacert",1,11211
"509","en","Datach%27i",1,9957
"510","en","Datacom",1,64716
"511","en","Datacom_Group",2,23866
"512","en","Datacopia",1,9673
"513","en","Datacoup",1,11078
"514","en","Datadog",1,10553
"515","en","Datafication",1,8809
"516","en","Dataflow",12,136817
"517","en","Dataflow_architecture",6,88447
"518","en","Dataflow_language",1,18665
"519","en","Dataflow_programming",10,221601
"520","en","Datafly_algorithm",1,10482
"521","en","Datafolha",4,34312
"522","en","Datafork_TrueType",1,9361
"523","en","Datagram",10,122098
"524","en","Datagram_Congestion_Control_Protocol",8,222804
"525","en","Datagram_Transport_Layer_Security",13,173969
"526","en","Datagram_service",1,12267
"527","en","Datagram_socket",5,48983
"528","en","Datagrams",2,53866
"529","en","Dataindustrier_AB",4,74489
"530","en","Dataindustrier_ab",1,26685
"531","en","Datakit",1,28154
"532","en","Datalantic",1,8067
"533","en","Datalog",15,389017
"534","en","Datalogics",1,11474
"535","en","Datalogix",1,39031
"536","en","Datalogy",1,57863
"537","en","Datalore",7,172060
"538","en","Datamart",1,14914
"539","en","Datamatics_Global_Services",1,12032
"540","en","Datamation",1,0
"541","en","Datamatrix",2,41866
"542","en","Datamax-O%27Neil",1,10624
"543","en","Datameer",3,34008
"544","en","Datamonitor",2,22414
"545","en","Datamoshing",1,23203
"546","en","Datamost",1,10190
"547","en","Datamuse",1,7413
"548","en","Datana_integerrima",1,8496
"549","en","Datana_major",1,0
"550","en","Datanal",1,13457
"551","en","Datang",1,8701
"552","en","Datang,_Zhuji",1,12248
"553","en","Datang_Group",1,10299
"554","en","Datang_International_Power_Generation_Company",3,143316
"555","en","Datang_Telecom",4,116706
"556","en","Datangshan",1,28064
"557","en","Datanomic",1,8463
"558","en","Datapanik_in_Year_Zero",1,12884
"559","en","Datapanik_in_the_Year_Zero",1,45056
"560","en","DataparkSearch",2,23457
"561","en","Datapath",3,39626
"562","en","Dataphor",2,68045
"563","en","Datapipe",2,24568
"564","en","Dataplay",1,41031
"565","en","Datapoint",3,113196
"566","en","Datapoint_2200",1,13952
"567","en","Datapoint_Corporation",1,72845
"568","en","Dataproducts",1,12700
"569","en","Dataram",3,76247
"570","en","Dataram_Corporation",1,13342
"571","en","Datari_Turner_Productions",2,11736
"572","en","Datarock",2,13434
"573","en","Datarock_Datarock",2,47029
"574","en","Datas",1,10442
"575","en","Dataset",3,91266
"576","en","Datasheet",17,213482
"577","en","Datasheet_Archive",1,8668
"578","en","Datasoft",2,19212
"579","en","Datasource",4,113275
"580","en","Dataspaces",4,126584
"581","en","Datassette",1,19471
"582","en","Datastage",1,12397
"583","en","Datastax",1,9781
"584","en","Datastream",2,19648
"585","en","Datastrip_Code",2,43703
"586","en","Datatec",1,9067
"587","en","Datatec_Limited",1,9138
"588","en","Datatel",5,71862
"589","en","Datatjej",1,9418
"590","en","Datatype",1,83020
"591","en","Dataware_Games",1,32777
"592","en","Datawatch_Corporation",1,0
